target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,filter,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,accessibility_violations,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,dap_version,ga_tag_id,third_party_service_domains,third_party_service_urls,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count,www_scan_status,www_url,www_status_code,www_title
reset.mcc.gov,mcc.gov,gov,False,https://reset.mcc.gov/,mcc.gov,gov,reset.mcc.gov,True,False,200.0,text/html,True,True,Millennium Challenge Corporation,Millennium Challenge Corporation,Executive,True,"[""pulse""]",,2025-01-15T06:57:38.627Z,completed,completed,completed,completed,completed,completed,completed,completed,"{""page-titled"":1,""language"":1}",False,,,,"[""\""password\"""",""type=\""password\""""]",False,,False,,,,,,0.0,,False,0.0,208.2000002861023,,,True,False,,,,,,,,,,,,,,False,False,False,https://reset.mcc.gov/robots.txt,False,404.0,text/html,,,,False,False,https://reset.mcc.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0,dns_resolution_error,,,
ibcm.mcc.gov,mcc.gov,gov,False,https://ibcm.mcc.gov/,mcc.gov,gov,ibcm.mcc.gov,True,False,200.0,text/html,True,True,Millennium Challenge Corporation,Millennium Challenge Corporation,Executive,True,"[""pulse""]",,2025-01-15T08:39:44.016Z,completed,completed,completed,completed,completed,completed,completed,completed,"{""language"":1}",False,,,,,False,,False,,,,"[""assets.mcc.gov""]","[""https://assets.mcc.gov/content/themes/mcc-2016/img/sig-rgb-horz-usa.svg""]",1.0,,False,0.0,100.40000009536745,,,True,True,IBCM.MCC.GOV,,,,,,,,,,,,,False,False,False,https://ibcm.mcc.gov/robots.txt,False,404.0,text/html,,,,False,False,https://ibcm.mcc.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0,dns_resolution_error,,,
adfs.mcc.gov,mcc.gov,gov,False,https://adfs.mcc.gov/,mcc.gov,gov,adfs.mcc.gov,False,True,404.0,text/html,True,True,Millennium Challenge Corporation,Millennium Challenge Corporation,Executive,True,"[""pulse""]",,2025-01-12T04:25:47.646Z,completed,completed,completed,completed,completed,completed,completed,completed,"{""language"":1}",False,,,,,False,,False,,,,,,0.0,,False,0.0,240.7999997138977,,,False,False,Not Found,,,,,,,,,,,,,False,False,False,https://adfs.mcc.gov/robots.txt,False,404.0,text/html,,,,False,False,https://adfs.mcc.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0,dns_resolution_error,,,
vpn.mcc.gov,mcc.gov,gov,True,https://vpn.mcc.gov/+CSCOE+/logon.html?a0=86&a1=&a2=&a3=1&reason=1#form_title_text,mcc.gov,gov,vpn.mcc.gov,True,True,200.0,text/html,True,True,Millennium Challenge Corporation,Millennium Challenge Corporation,Executive,,"[""pulse""]",,2025-01-12T04:26:00.150Z,completed,completed,completed,unknown_error,completed,completed,completed,completed,"{""language"":1,""images"":2}",False,,,,,False,,False,,,,"[""4149942157shutdown.relay.webvpn.""]","[""https://4149942157shutdown.relay.webvpn./nonexistent.js""]",1.0,"[""vpn.mcc.gov""]",True,0.0,343.0,,,True,True,MCC VPN Service - vpn.mcc.gov,,,,,,,,,,,,,False,True,False,https://vpn.mcc.gov/robots.txt,True,200.0,text/plain,26.0,,,False,True,https://vpn.mcc.gov/+CSCOE+/message.html?mc=2,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0,dns_resolution_error,,,
webmail.mcc.gov,mcc.gov,gov,True,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=02cb75d5-10e7-5283-8887-86b4b1762b09&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&nonce=638725211725526533.f18bad69-ea92-41b4-8cc5-4fab2ab8162d&state=DctBFoAgCABRrddxyEBBPA5obVt2_VjM301OKe3RFuUrSF2qdmJCDJmEaz0fVLclA24bBA29gc7J0B5zMlcUWjneo7yflR8,microsoftonline.com,com,login.microsoftonline.com,True,True,200.0,text/html,False,False,Millennium Challenge Corporation,Millennium Challenge Corporation,Executive,False,"[""pulse""]",,2025-01-15T06:59:44.801Z,completed,execution_context_destroyed,completed,completed,completed,completed,completed,completed,,False,,,,,False,,False,,,,"[""aadcdn.msauth.net"",""login.live.com"",""r4.res.office365.com""]","[""https://aadcdn.msauth.net/ests/2.1/content/cdnbundles/converged.v2.login.min_81imvbluez-v5hbzpkxfcg2.css"",""https://aadcdn.msauth.net/ests/2.1/content/cdnbundles/ux.converged.login.strings-en.min_v20ia-gahguvu2fgvxamhg2.js"",""https://aadcdn.msauth.net/shared/1.0/content/images/appbackgrounds/49-small_2055002f2daae2ed8f69f03944c0e5d9.jpg"",""https://aadcdn.msauth.net/shared/1.0/content/images/appbackgrounds/49_6ffe0a92d779c878835b40171ffc2e13.jpg"",""https://aadcdn.msauth.net/shared/1.0/content/images/applogos/53_7a3c80bf9694448bac31a9589d2e9e92.png"",""https://aadcdn.msauth.net/shared/1.0/content/images/microsoft_logo_564db913a7fa0ca42727161c6d031bef.svg"",""https://aadcdn.msauth.net/shared/1.0/content/images/signin-options_3e3f6b73c3f310c31d2c4d131a8ab8c6.svg"",""https://aadcdn.msauth.net/shared/1.0/content/js/ConvergedLogin_PCore_n7VKwtWYm2mBLcIKAZfQlw2.js"",""https://aadcdn.msauth.net/shared/1.0/content/js/asyncchunk/convergedlogin_pcustomizationloader_510f960da65b56e0607c.js"",""https://aadcdn.msauth.net/shared/1.0/content/js/asyncchunk/convergedlogin_pstringcustomizationhelper_cc2c59f5ef2c09e14b08.js"",""https://aadcdn.msauth.net/shared/1.0/content/js/oneDs_f2e0f4a029670f10d892.js"",""https://login.live.com/Me.htm"",""https://r4.res.office365.com/owa/prem/15.20.8335.18/resources/images/0/sprite1.mouse.css"",""https://r4.res.office365.com/owa/prem/15.20.8335.18/resources/images/0/sprite1.mouse.png"",""https://r4.res.office365.com/owa/prem/15.20.8335.18/resources/styles/0/boot.worldwide.mouse.css"",""https://r4.res.office365.com/owa/prem/15.20.8335.18/scripts/boot.worldwide.0.mouse.js"",""https://r4.res.office365.com/owa/prem/15.20.8335.18/scripts/boot.worldwide.1.mouse.js"",""https://r4.res.office365.com/owa/prem/15.20.8335.18/scripts/boot.worldwide.2.mouse.js"",""https://r4.res.office365.com/owa/prem/15.20.8335.18/scripts/boot.worldwide.3.mouse.js""]",3.0,"["".login.microsoftonline.com"",""login.microsoftonline.com""]",True,0.0755788411458333,762.6000003814697,"[""privacy""]",,True,True,Sign in to Outlook,,,,,,,,,,,en,,False,False,True,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2fmail.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=807cc424-c433-dde8-fa0a-d8d589f87365&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&nonce=638725211751958774.d61d1e89-c140-4cab-acb0-7615f1429c74&state=DcvLEYAgDADRoAVYCUIwIVAOH70yo8xo-ebw9rYGAFa1KOM1IPFIEjggCmPmJEJ7j9jxTNk2JG-plWpLq95KRL6QQm5CRt_Njbe4e9Qxn31-8wc,True,200.0,text/html,,,,False,True,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=b7bd0446-eff5-1088-3cfd-0555436e6ddf&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=sitemap.xml&nonce=638725211820441700.ea8cd6f1-f693-4c4e-b9bc-099bdc03ae1d&state=DctbCoAgEEBRrQ20EXNGTZ3ljC8IkoKCWn5-nPt3pRBiHqZBwogI3sZgNoMYDTiHAWCtHHPxDVXzZJXLrqpEKSsgSiWD5YpFjnfR58v63p_a-Vq_fvw,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0,dns_resolution_error,,,
mcc.gov,mcc.gov,gov,True,https://www.mcc.gov/,mcc.gov,gov,www.mcc.gov,True,False,200.0,text/html,True,False,Millennium Challenge Corporation,Millennium Challenge Corporation,Executive,True,"[""gov"",""dap"",""pulse"",""2020_eot"",""usagov""]",,2025-01-15T07:06:23.136Z,completed,completed,completed,completed,completed,completed,completed,timeout,"{""link-purpose"":10,""lists"":4}",False,,cloud.gov Pages,,,True,True,True,"{""agency"":""MCC"",""sp"":""lookup,locate"",""exts"":""tif,mp3"",""dclink"":""true""}",20241218 v8.5 - GA4,G-CSLL4ZEK4L,"[""ajax.googleapis.com"",""assets.mcc.gov"",""cdn-images.mailchimp.com"",""cdn.datatables.net"",""cdn.jsdelivr.net"",""cdnjs.cloudflare.com"",""cloud.typography.com"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""ka-p.fontawesome.com"",""kit.fontawesome.com"",""p.typekit.net"",""s3.amazonaws.com"",""unpkg.com"",""use.typekit.net"",""www.googletagmanager.com""]","[""https://ajax.googleapis.com/ajax/libs/jquery/3.7.0/jquery.min.js"",""https://assets.mcc.gov/content/themes/mcc-2016/css/normalize.css"",""https://assets.mcc.gov/content/uploads/graphic-010725-mauritania-flag-button.jpg"",""https://assets.mcc.gov/content/uploads/graphic-011325-albania-flag-button.jpg"",""https://assets.mcc.gov/content/uploads/img-featured-2024-eoy.jpg"",""https://assets.mcc.gov/content/uploads/sig-mcc-horz.svg"",""https://cdn-images.mailchimp.com/embedcode/classic-061523.css"",""https://cdn.datatables.net/v/dt/jszip-3.10.1/dt-2.0.7/b-3.0.2/b-colvis-3.0.2/b-html5-3.0.2/b-print-3.0.2/datatables.min.css"",""https://cdn.datatables.net/v/dt/jszip-3.10.1/dt-2.0.7/b-3.0.2/b-colvis-3.0.2/b-html5-3.0.2/b-print-3.0.2/datatables.min.js"",""https://cdn.jsdelivr.net/vue/latest/vue.js"",""https://cdnjs.cloudflare.com/ajax/libs/pdfmake/0.2.7/pdfmake.min.js"",""https://cdnjs.cloudflare.com/ajax/libs/pdfmake/0.2.7/vfs_fonts.js"",""https://cloud.typography.com/7913002/7477832/css/fonts.css"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://dap.digitalgov.gov/web-vitals/dist/web-vitals.attribution.iife.js"",""https://fonts.googleapis.com/icon"",""https://ka-p.fontawesome.com/releases/v6.7.2/js/pro-v4-shims.min.js"",""https://ka-p.fontawesome.com/releases/v6.7.2/js/pro.min.js"",""https://ka-p.fontawesome.com/releases/v6.7.2/svgs/brands/instagram.svg"",""https://ka-p.fontawesome.com/releases/v6.7.2/svgs/brands/linkedin.svg"",""https://ka-p.fontawesome.com/releases/v6.7.2/svgs/brands/square-facebook.svg"",""https://ka-p.fontawesome.com/releases/v6.7.2/svgs/brands/square-x-twitter.svg"",""https://ka-p.fontawesome.com/releases/v6.7.2/svgs/brands/square-youtube.svg"",""https://ka-p.fontawesome.com/releases/v6.7.2/svgs/solid/podcast.svg"",""https://ka-p.fontawesome.com/releases/v6.7.2/svgs/solid/rss-square.svg"",""https://kit.fontawesome.com/b57844e710.js"",""https://p.typekit.net/p.css"",""https://s3.amazonaws.com/downloads.mailchimp.com/js/mc-validate.js"",""https://use.typekit.net/lho2pch.css""]",16.0,"["".mcc.gov""]",True,0.0006931458333333,0.0,"[""about"",""fear"",""foia"",""privacy"",""usa.gov""]","[""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",True,True,Millennium Challenge Corporation,,,Millennium Challenge Corporation,,,,https://assets.mcc.gov/content/uploads/featured-img-mcc-star.png,article,https://www.mcc.gov/,https://www.mcc.gov/,en,,True,False,True,https://www.mcc.gov/robots.txt,False,404.0,text/html,,,,,,,,,,,,,20.0,0.0,0.0,1.0,"[""usa-accordion"",""usa-banner"",""usa-button"",""usa-collection"",""usa-footer"",""usa-header"",""usa-input"",""usa-link"",""usa-list"",""usa-logo"",""usa-menu-btn"",""usa-nav"",""usa-nav-link"",""usa-navbar"",""usa-overlay"",""usa-search"",""usa-sign-up"",""usa-social-link"",""usa-sr-only""]",True,60.0,9.0,20.0,v3.5.0,100.0,210.0,completed,https://www.mcc.gov,200.0,Millennium Challenge Corporation
uatmis.mcc.gov,mcc.gov,gov,,,,,,,False,,,,,Millennium Challenge Corporation,Millennium Challenge Corporation,Executive,,"[""pulse""]",,2025-01-15T07:23:45.353Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dns_resolution_error,,,
mccuatmis-2.mcc.gov,mcc.gov,gov,True,https://mccuatmis-2.mcc.gov/Login,mcc.gov,gov,mccuatmis-2.mcc.gov,True,False,200.0,text/html,True,True,Millennium Challenge Corporation,Millennium Challenge Corporation,Executive,True,"[""pulse""]",,2025-01-15T07:24:11.796Z,completed,completed,completed,completed,completed,completed,completed,completed,,False,,,,,False,,False,,,,,,0.0,"[""mccuatmis-2.mcc.gov""]",True,0.0,630.0999999046326,,,True,True,MCC | MIS,,,,,,,,,,,en,,False,False,True,https://mccuatmis-2.mcc.gov/Errors/NotFound?aspxerrorpath=/robots.txt,False,404.0,text/html,,,,False,True,https://mccuatmis-2.mcc.gov/Errors/NotFound?aspxerrorpath=/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0,dns_resolution_error,,,
autodiscover.mcc.gov,mcc.gov,gov,,,,,,,True,,,,,Millennium Challenge Corporation,Millennium Challenge Corporation,Executive,,"[""pulse""]",,2025-01-16T11:56:52.326Z,connection_refused,connection_refused,completed,unknown_error,connection_refused,connection_refused,completed,connection_refused,,True,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dns_resolution_error,,,
learn-test.mcc.gov,mcc.gov,gov,,,,,,,True,,,,,Millennium Challenge Corporation,Millennium Challenge Corporation,Executive,,"[""pulse""]",,2025-01-15T07:41:08.153Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dns_resolution_error,,,
