target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,filter,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,accessibility_violations,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,dap_version,ga_tag_id,third_party_service_domains,third_party_service_urls,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count,www_scan_status,www_url,www_status_code,www_title
vdi.ssa.gov,ssa.gov,gov,,,,,,,True,,,,,Social Security Administration,SSA/OSOHE/Division of Network Engineering,Executive,,"[""pulse""]",,2025-01-13T03:26:18.739Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dns_resolution_error,,,
intws.ssa.gov,ssa.gov,gov,False,https://intws.ssa.gov/,ssa.gov,gov,intws.ssa.gov,False,False,500.0,text/xml,True,True,Social Security Administration,SSA/OSOHE/Division of Network Engineering,Executive,False,"[""pulse""]",,2025-01-13T03:26:32.696Z,completed,completed,completed,completed,completed,completed,completed,completed,"{""page-titled"":1,""language"":1}",False,,,,,False,,False,,,,,,0.0,,False,0.0,242.2000002861023,,,True,True,,,,,,,,,,,,,,False,False,False,https://intws.ssa.gov/robots.txt,False,500.0,text/xml,,,,False,False,https://intws.ssa.gov/sitemap.xml,False,500.0,text/xml,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0,dns_resolution_error,,,
signup.socialsecurity.gov,socialsecurity.gov,gov,True,https://www.ssa.gov/,ssa.gov,gov,www.ssa.gov,True,False,200.0,text/html,False,False,Social Security Administration,SSA/OSOHE/Division of Network Engineering,Executive,True,"[""pulse""]",,2025-01-13T03:27:22.360Z,completed,completed,completed,completed,completed,completed,completed,timeout,"{""images"":1}",True,,Drupal,,"["">Sign In<""]",True,,True,,20241218 v8.5 - GA4,"G-CSLL4ZEK4L,G-VSSTFV3FKR","[""bam.nr-data.net"",""c.go-mpulse.net"",""dap.digitalgov.gov"",""js-agent.newrelic.com"",""resources.digital-cloud-gov.medallia.com"",""s.go-mpulse.net"",""www.googletagmanager.com""]","[""https://bam.nr-data.net/1/NRJS-469e5c3a62582fe4b9d"",""https://c.go-mpulse.net/api/config.json"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://dap.digitalgov.gov/web-vitals/dist/web-vitals.attribution.iife.js"",""https://js-agent.newrelic.com/nr-rum-1.278.2.min.js"",""https://resources.digital-cloud-gov.medallia.com/wdcgov/12849/forms/494/formDataV2_1717595006664_en.json"",""https://resources.digital-cloud-gov.medallia.com/wdcgov/12849/onsite/embed.js"",""https://resources.digital-cloud-gov.medallia.com/wdcgov/12849/onsite/generic1733757465340.js"",""https://s.go-mpulse.net/boomerang/LERZW-HECFS-R8H4E-23UQ7-ERMQB"",""https://www.googletagmanager.com/gtag/js"",""https://www.googletagmanager.com/gtm.js""]",7.0,"["".ssa.gov"","".www.ssa.gov""]",True,0.0036285416666666,606.2000002861023,"[""about"",""foia"",""privacy"",""usa.gov"",""/es""]","[""accessibility"",""foia"",""inspector general"",""privacy policy"",""usa.gov"",""español""]",True,True,The United States Social Security Administration | SSA,Official website of the U.S. Social Security Administration.,,The United States Social Security Administration | SSA,Official website of the U.S. Social Security Administration.,,,,website,https://www.ssa.gov/,https://www.ssa.gov/,en,"en,es",True,True,True,https://www.ssa.gov/robots.txt,True,200.0,text/plain,910.0,,"[""https://www.ssa.gov/search-gov/sitemap.xml"",""https://www.ssa.gov/sitemap.xml"",""https://www.ssa.gov/sitemap1.xml""]",,,,,,,,,,20.0,0.0,40.0,7.0,"[""usa-accordion"",""usa-alert"",""usa-banner"",""usa-banner-inner"",""usa-col"",""usa-footer"",""usa-form"",""usa-header"",""usa-hero"",""usa-identifier"",""usa-input"",""usa-label"",""usa-list"",""usa-logo"",""usa-menu-btn"",""usa-mobile-header-button"",""usa-nav"",""usa-nav-container"",""usa-overlay"",""usa-site-alert"",""usa-sr-only""]",True,65.0,0.0,0.0,,0.0,132.0,completed,https://www.ssa.gov,200.0,The United States Social Security Administration | SSA
blog.ssa.gov,ssa.gov,gov,False,https://blog.ssa.gov/,ssa.gov,gov,blog.ssa.gov,True,False,200.0,text/html,True,True,Social Security Administration,SSA/OSOHE/Division of Network Engineering,Executive,True,"[""dap"",""pulse"",""omb_idea""]",True,2025-01-13T03:28:16.864Z,completed,completed,completed,completed,completed,completed,completed,completed,,True,cloudfront.net,WordPress,,,True,,True,,20241218 v8.5 - GA4,"G-CSLL4ZEK4L,G-VSSTFV3FKR","[""content.govdelivery.com"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""www.googletagmanager.com""]","[""https://content.govdelivery.com/attachments/fancy_images/USSSA/2018/08/2100369/seal_original.png"",""https://content.govdelivery.com/attachments/fancy_images/USSSA/2018/08/2100375/icon-3_original.png"",""https://content.govdelivery.com/attachments/fancy_images/USSSA/2018/08/2100377/icon-2_original.png"",""https://content.govdelivery.com/attachments/fancy_images/USSSA/2018/08/2100378/icon-1_original.png"",""https://content.govdelivery.com/attachments/fancy_images/USSSA/2018/08/2100379/close_original.png"",""https://content.govdelivery.com/overlay/js/6209.js"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://dap.digitalgov.gov/web-vitals/dist/web-vitals.attribution.iife.js"",""https://fonts.googleapis.com/css"",""https://fonts.googleapis.com/css2"",""https://fonts.gstatic.com/s/opensans/v40/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS-mu0SC55I.woff2"",""https://www.googletagmanager.com/gtag/js"",""https://www.googletagmanager.com/gtm.js""]",5.0,"["".ssa.gov"",""blog.ssa.gov""]",True,0.0104798096923828,416.59999990463257,"[""privacy"",""/es""]","[""accessibility"",""privacy policy"",""español""]",True,True,SSA | The Official Blog of Social Security,The Official Blog of the Social Security Administration.,,SSA | The Official Blog of Social Security,The Official Blog of the Social Security Administration.,,,https://blog.ssa.gov/wp-content/uploads/2020/12/ssa-logo-full-rgb-small.png,website,https://blog.ssa.gov/,https://blog.ssa.gov/,en-US,"en,es",True,True,False,https://blog.ssa.gov/robots.txt,True,200.0,text/plain,153.0,,"[""https://blog.ssa.gov/sitemap.html"",""https://blog.ssa.gov/sitemap.xml""]",True,False,https://blog.ssa.gov/sitemap.xml,True,200.0,text/xml,159422.0,0.0,0.0,20.0,0.0,0.0,0.0,"[""usa-accordion"",""usa-banner""]",True,20.0,0.0,0.0,,0.0,40.0,dns_resolution_error,,,
ossnap-public-unauth-ui-enum-sbx.d.app.paas.is.cl.ssa.gov,ssa.gov,gov,,,,,,,False,,,,,Social Security Administration,SSA/OSOHE/Division of Network Engineering,Executive,,"[""dap""]",,2025-01-13T03:28:19.503Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dns_resolution_error,,,
secure.ssa.gov,ssa.gov,gov,True,https://www.ssa.gov/,ssa.gov,gov,www.ssa.gov,True,True,200.0,text/html,True,False,Social Security Administration,SSA/OSOHE/Division of Network Engineering,Executive,False,"[""dap"",""pulse"",""omb_idea"",""2020_eot"",""usagov""]",False,2025-01-13T03:28:30.536Z,completed,page_frame_not_ready,completed,completed,completed,completed,completed,completed,,True,,Drupal,,"["">Sign In<""]",True,,True,,20241218 v8.5 - GA4,"G-CSLL4ZEK4L,G-VSSTFV3FKR","[""bam.nr-data.net"",""dap.digitalgov.gov"",""js-agent.newrelic.com"",""resources.digital-cloud-gov.medallia.com"",""s.go-mpulse.net"",""secure.ssa.gov"",""www.googletagmanager.com""]","[""https://bam.nr-data.net/1/NRJS-469e5c3a62582fe4b9d"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://dap.digitalgov.gov/web-vitals/dist/web-vitals.attribution.iife.js"",""https://js-agent.newrelic.com/nr-rum-1.278.2.min.js"",""https://resources.digital-cloud-gov.medallia.com/wdcgov/12849/onsite/embed.js"",""https://resources.digital-cloud-gov.medallia.com/wdcgov/12849/onsite/generic1733757465340.js"",""https://s.go-mpulse.net/boomerang/LERZW-HECFS-R8H4E-23UQ7-ERMQB"",""https://secure.ssa.gov/favicon.ico"",""https://www.googletagmanager.com/gtag/js"",""https://www.googletagmanager.com/gtm.js""]",7.0,"["".ssa.gov"","".www.ssa.gov""]",True,0.0095436960449218,402.0,"[""about"",""foia"",""privacy"",""usa.gov"",""/es""]","[""accessibility"",""foia"",""inspector general"",""privacy policy"",""usa.gov"",""español""]",True,True,The United States Social Security Administration | SSA,Official website of the U.S. Social Security Administration.,,The United States Social Security Administration | SSA,Official website of the U.S. Social Security Administration.,,,,website,https://www.ssa.gov/,https://www.ssa.gov/,en,"en,es",True,True,False,https://secure.ssa.gov/robots.txt,True,200.0,text/plain,567.0,,,False,False,https://secure.ssa.gov/RIL/SiView.action?URL=%2Fsitemap.xml,True,200.0,text/html,,,,20.0,0.0,40.0,7.0,"[""usa-accordion"",""usa-alert"",""usa-banner"",""usa-banner-inner"",""usa-col"",""usa-footer"",""usa-form"",""usa-header"",""usa-hero"",""usa-identifier"",""usa-input"",""usa-label"",""usa-list"",""usa-logo"",""usa-menu-btn"",""usa-mobile-header-button"",""usa-nav"",""usa-nav-container"",""usa-overlay"",""usa-site-alert"",""usa-sr-only""]",True,65.0,0.0,0.0,,0.0,132.0,dns_resolution_error,,,
wcms.ssa.gov,ssa.gov,gov,,,,,,,False,,,,,Social Security Administration,SSA/OSOHE/Division of Network Engineering,Executive,,"[""dap""]",,2025-01-13T03:28:33.029Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dns_resolution_error,,,
valws.ssa.gov,ssa.gov,gov,False,https://valws.ssa.gov/,ssa.gov,gov,valws.ssa.gov,False,False,500.0,text/xml,True,True,Social Security Administration,SSA/OSOHE/Division of Network Engineering,Executive,False,"[""pulse""]",,2025-01-13T03:37:07.619Z,completed,completed,completed,completed,completed,completed,completed,completed,"{""page-titled"":1,""language"":1}",False,,,,,False,,False,,,,,,0.0,,False,0.0,251.19999980926517,,,True,True,,,,,,,,,,,,,,False,False,False,https://valws.ssa.gov/robots.txt,False,500.0,text/xml,,,,False,False,https://valws.ssa.gov/sitemap.xml,False,500.0,text/xml,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0,dns_resolution_error,,,
yourtickettowork.ssa.gov,ssa.gov,gov,False,https://yourtickettowork.ssa.gov/,ssa.gov,gov,yourtickettowork.ssa.gov,True,False,200.0,text/html,True,True,Social Security Administration,SSA/OSOHE/Division of Network Engineering,Executive,True,"[""dap"",""pulse"",""omb_idea""]",True,2025-01-13T03:40:02.432Z,completed,completed,completed,completed,completed,completed,completed,completed,"{""aria"":1}",True,,Drupal,,,True,,True,,20241218 v8.5 - GA4,"G-CSLL4ZEK4L,G-VSSTFV3FKR","[""content.govdelivery.com"",""dap.digitalgov.gov"",""www.googletagmanager.com""]","[""https://content.govdelivery.com/accounts/USSSATTW/widgets/USSSATTW_WIDGET_1.css"",""https://content.govdelivery.com/accounts/USSSATTW/widgets/USSSATTW_WIDGET_1.js"",""https://content.govdelivery.com/accounts/USSSATTW/widgets/USSSATTW_WIDGET_1/0.json"",""https://content.govdelivery.com/assets/ajax-loading-f6ecff617ec2ba7f559e6f535cad9b70a3f91120737535dab4d4548a6c83576c.gif"",""https://content.govdelivery.com/assets/widget-03670b6a8fca0bdcfc9cb999adf6d9c204d300a05f38e076965fbf3484fdc8ee.css"",""https://content.govdelivery.com/assets/widget/embed-ba0a7070a9340da5e06ed50cf3bdc606f4658bb6cb9885078e193c75113b0538.png"",""https://content.govdelivery.com/assets/widget/rss-4bd1539f37385414b69a84c4ddcc8ddfc25f1f00c774fb4a621bc3c3c4bffd6e.png"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://dap.digitalgov.gov/web-vitals/dist/web-vitals.attribution.iife.js"",""https://www.googletagmanager.com/gtag/js"",""https://www.googletagmanager.com/gtm.js""]",3.0,"["".ssa.gov""]",True,0.0008577895914713,1201.4000000953674,"[""about"",""privacy""]","[""accessibility""]",False,True,Home | Ticket to Work,Official Website of Social Security's Ticket to Work Program.,,Home | Choose Work! - Ticket to Work - Social Security,Official website of Social Security's Ticket to Work Program.,,,https://yourtickettowork.ssa.gov/Assets/images/home/YTTW_color_logo_horizontal.png,,,,en,,True,True,False,https://yourtickettowork.ssa.gov/robots.txt,True,200.0,text/plain,2027.0,,,True,False,https://yourtickettowork.ssa.gov/sitemap.xml,True,200.0,application/xml,27290.0,145.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0,completed,https://www.yourtickettowork.ssa.gov,200.0,Home | Ticket to Work
choosework.ssa.gov,ssa.gov,gov,False,https://choosework.ssa.gov/,ssa.gov,gov,choosework.ssa.gov,True,False,200.0,text/html,True,True,Social Security Administration,SSA/OSOHE/Division of Network Engineering,Executive,True,"[""dap"",""pulse"",""omb_idea""]",True,2025-01-13T02:44:36.147Z,completed,completed,completed,completed,completed,completed,completed,completed,,True,,Drupal,,,True,,True,,20241218 v8.5 - GA4,"G-CSLL4ZEK4L,G-VSSTFV3FKR","[""dap.digitalgov.gov"",""external-sea1-1.xx.fbcdn.net"",""fonts.googleapis.com"",""fonts.gstatic.com"",""scontent-sea1-1.xx.fbcdn.net"",""static.xx.fbcdn.net"",""www.googletagmanager.com""]","[""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://dap.digitalgov.gov/web-vitals/dist/web-vitals.attribution.iife.js"",""https://external-sea1-1.xx.fbcdn.net/emg1/v/t13/15101665786982541595"",""https://external-sea1-1.xx.fbcdn.net/emg1/v/t13/9415892972521049895"",""https://fonts.googleapis.com/css"",""https://fonts.gstatic.com/s/opensans/v40/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS-mu0SC55I.woff2"",""https://fonts.gstatic.com/s/sourcesanspro/v22/6xKydSBYKcSV-LCoeQqfX1RYOo3i54rwlxdu3cOWxw.woff2"",""https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/242822014_227172312790315_3028589870712998284_n.jpg"",""https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/470196800_1000668205440718_3626479091501650393_n.jpg"",""https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/472616191_1020012283506310_3196753566295802241_n.jpg"",""https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/472711288_1020012223506316_1904829273459603974_n.jpg"",""https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/472716373_1020832306757641_7726742805601121428_n.jpg"",""https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/472857909_1022313783276160_3426438895043547761_n.jpg"",""https://static.xx.fbcdn.net/rsrc.php/v4/y8/r/Qo04Jy8d4P6.js"",""https://static.xx.fbcdn.net/rsrc.php/v4/y9/r/ie38mp0O07P.js"",""https://static.xx.fbcdn.net/rsrc.php/v4/yA/r/IiYLC-whO1n.js"",""https://static.xx.fbcdn.net/rsrc.php/v4/yB/r/0bWEtGbW7yi.js"",""https://static.xx.fbcdn.net/rsrc.php/v4/yB/r/9V5OpGvJZGB.png"",""https://static.xx.fbcdn.net/rsrc.php/v4/yF/r/aiEbrnLh7si.js"",""https://static.xx.fbcdn.net/rsrc.php/v4/yF/r/p55HfXW__mM.js"",""https://static.xx.fbcdn.net/rsrc.php/v4/yT/r/VuRstRCPjmu.png"",""https://static.xx.fbcdn.net/rsrc.php/v4/yW/r/Q7mzdRvkILg.js"",""https://static.xx.fbcdn.net/rsrc.php/v4/yZ/r/eyDfcHead4k.js"",""https://static.xx.fbcdn.net/rsrc.php/v4/yz/r/oPm4iA6WfCQ.js"",""https://static.xx.fbcdn.net/rsrc.php/v4iEBX4/yc/l/en_US/8Dvk-eDMQTC.js"",""https://static.xx.fbcdn.net/rsrc.php/v4iEpO4/yH/l/en_US/TmpI89f4CsM.js""]",7.0,"["".ssa.gov""]",True,0.1527639465332031,1034.9000000953674,"[""about"",""fear"",""foia"",""privacy"",""usa.gov""]","[""accessibility"",""no fear act"",""foia"",""usa.gov""]",False,True,Home | Choose Work! - Ticket to Work - Social Security,Official website of Social Security’s Ticket to Work Program.,,Home | Choose Work! - Ticket to Work - Social Security,Official website of Social Security’s Ticket to Work Program.,,,https://choosework.ssa.gov/Assets/cw/images/CW_color_logo_horizontal.png,,,https://choosework.ssa.gov/,en,,False,True,False,https://choosework.ssa.gov/robots.txt,True,200.0,text/plain,2027.0,,,True,False,https://choosework.ssa.gov/sitemap.xml,True,200.0,application/xml,143926.0,814.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0,completed,https://www.choosework.ssa.gov,200.0,Home | Choose Work! - Ticket to Work - Social Security
